"factor","slope","sd","df","crit_value","se","lower","upper"
"01",0.337382684887867,0.203881820942018,79,1.99045021023013,0.0227946805501397,0.292011008194713,0.382754361581021
"04",0.53796672026481,0.0822443462788041,79,1.99045021023013,0.00919519745222189,0.519664137562927,0.556269302966692
"10",0.638234213559787,0.0383356064282747,79,1.99045021023013,0.00428605109661501,0.629703042253473,0.646765384866101
