"area_160616","area_160617","area_160618","area_160619","area_160620","area_160621","area_160622","area_160623","area_160624","area_160625","area_160626","area_160627","area_160628","area_160629","area_160630","area_160701","area_160702","area_160703","area_160704","area_160705","well_ID","factor"
3.228,3.305,3.558,4.991,8.395,13.216,19.762,31.838,54.222,71.694,78.19,81.286,76.832,76.557,74.436,73.722,70.007,74.783,72.595,73.776,36,"10"
4.031,3.896,3.969,5.126,7.476,11.073,16.164,27.948,49.258,69.863,79.803,79.967,78.966,79.137,75.228,75.932,72.763,78.043,74.306,76.672,37,"10"
3.738,3.81,3.596,4.369,6.596,9.708,14.437,22.079,37.438,55.994,70.313,81.43,78.73,76.415,75.273,72.266,70.793,75.62,72.83,75.236,38,"10"
4.203,4.234,4.073,4.844,6.669,9.55,13.774,20.689,32.048,47.138,61.099,79.367,77.938,75.597,74.746,71.04,67.811,74.83,71.983,72.226,39,"10"
3.794,3.731,3.609,4.504,6.335,9.319,13.421,21.622,38.011,57.533,69.422,77.593,72.703,74.45,70.939,69.797,67.13,70.139,69.867,69.702,40,"10"
3.311,3.297,3.478,4.67,7.232,10.928,16.723,27.952,50.777,70.364,79.516,83.079,79.238,79.215,77.811,76.076,75.457,78.141,77.933,76.773,41,"10"
4.098,3.614,3.28,3.837,5.968,8.199,11.503,17.586,29.339,45.927,64.381,81.654,80.362,81.109,79.93,76.857,76.044,79.083,77.97,75.52,42,"10"
4.495,4.756,3.936,4.839,6.941,9.922,14.4,23.058,41.182,62.759,75.606,82.69,78.347,80.97,76.676,75.147,75.776,77.201,76.472,77.246,43,"10"
3.049,2.997,2.939,3.634,5.61,8.434,12.393,19.12,32.753,51.247,67.148,80.246,82.453,80.231,76.191,72.714,72.774,75.465,75.727,75.665,44,"10"
3.037,2.999,3.211,4.805,7.836,12.384,19.297,32.371,56.513,73.744,80.104,81.851,78.138,76.176,74.81,76.035,71.309,73.92,74.443,73.712,45,"10"
3.838,4.021,3.695,4.712,7.029,9.891,14.045,22.609,40.87,61.619,79.219,84.668,81.699,81.167,79.29,77.447,74.374,77.405,76.977,77.002,46,"10"
3.441,3.518,3.322,4.034,5.904,8.295,11.691,17.554,29.345,45.325,59.97,79.534,83.513,80.946,80.271,76.89,73.881,75.734,74.575,75.404,47,"10"
3.26,3.341,3.5,4.6,7.409,10.993,15.966,26.274,47.177,69.755,79.652,84.601,80.908,82.693,78.57,75.777,71.15,79.23,75.193,77.918,48,"10"
3.684,3.627,3.671,4.513,6.644,10.192,15.841,24.353,36.936,52.418,66.017,81.636,79.972,77.763,76.773,73.931,71.686,77.603,73.803,75.291,49,"10"
3.658,3.521,3.536,4.725,7.526,11.53,17.473,27.155,43.783,62.357,76.486,82.543,82.089,81.362,80.066,76.076,77.803,79.835,76.508,77.65,50,"10"
2.974,3.019,3.215,4.397,7.576,12.352,19.56,30.497,48.734,67.672,80.127,81.797,82.484,78.897,75.506,77.285,72.455,76.61,75.139,77.171,51,"10"
3.379,3.323,3.373,4.846,7.905,13.123,20.347,34.205,55.277,74.776,82.626,82.681,79.053,75.954,76.013,72.313,71.982,76.395,73.823,75.677,52,"10"
3.322,3.38,3.528,4.739,7.113,10.92,16.302,25.362,40.429,57.198,72.963,83.515,79.292,78.521,77.041,73.214,72.768,73.526,73.814,75.352,53,"10"
3.214,3.344,3.855,5.313,8.918,15.06,23.724,36.501,57.936,75.432,79.31,83.105,78.037,78.232,76.6,74.601,72.173,76.231,74.934,75.97,54,"10"
3.231,3.345,3.684,5.104,7.801,12.433,18.607,28.238,44.021,60.099,73.32,79.593,76.075,72.437,72.109,72.052,69.863,72.873,71.453,72.313,55,"10"
3.786,3.772,3.678,4.531,6.855,10.279,16.286,26.326,40.378,56.594,71.919,80.99,75.04,72.108,71.58,72.404,70.68,73.553,72.691,72.205,56,"10"
5.178,5.023,4.811,5.684,7.905,11.703,17.177,27.208,47.584,65.621,74.477,78.443,72.663,72.223,71.743,71.02,71.025,72.863,72.141,74.554,57,"10"
4.292,4.133,4.246,5.545,8.3,13.289,20.419,33.75,55.846,78.217,82.992,83.993,81.636,79.104,77.932,76.675,76.381,79.632,77.481,76.864,58,"10"
4.873,4.536,4.447,5.559,7.64,11.189,15.902,23.874,36.819,53.531,68.986,79.526,75.07,74.101,73.848,73.006,71.495,74.286,72.407,72.977,59,"10"
4.292,4.274,4.711,6.169,9.181,14.081,21.194,31.099,48.855,65.263,72.115,73.001,69.962,71.114,70.616,71.476,67.922,71.024,69.853,71.588,60,"10"
